                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.34632,                0.25095,                0.34694,                0.95903,                0.99251,                      1,                  0.995,                 0.9708,                0.99251,                      1,                  0.995,                0.96563,                0.33238,                0.44708,                0.67038,                0.92142,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.3611,                0.27611,                0.36527,                0.97295,                0.93596,                      1,                  0.995,                0.97712,                0.93596,                      1,                  0.995,                0.98163,                 0.3032,                0.38131,                0.99182,                0.90819,               0.001505,               0.001505,               0.001505
                     27,                0.35801,                0.27772,                0.35002,                0.95516,                 0.9876,                      1,                  0.995,                0.98055,                 0.9876,                      1,                  0.995,                0.94996,                0.31827,                0.53746,                0.35821,                0.92588,              0.0014852,              0.0014852,              0.0014852
                     28,                0.32517,                0.30118,                0.32518,                0.94272,                0.98407,                      1,                  0.995,                0.74549,                0.98407,                      1,                  0.995,                0.66566,                0.80946,                 3.9326,                 1.1571,                 1.8121,              0.0014654,              0.0014654,              0.0014654
                     29,                0.36293,                0.28358,                0.35136,                 0.9722,                 0.6475,                0.98029,                0.85312,                 0.6277,                 0.6475,                0.98029,                0.85312,                0.61882,                0.62127,                0.44532,                 1.2601,                 1.2393,              0.0014456,              0.0014456,              0.0014456
                     30,                0.34839,                0.27612,                 0.3283,                0.98855,                0.87409,                      1,                0.98688,                0.60856,                0.75577,                0.86667,                0.84537,                0.58027,                 0.5323,                0.17162,                 1.6846,                 1.1052,              0.0014258,              0.0014258,              0.0014258
                     31,                0.32956,                0.23399,                0.31956,                0.94505,                0.82551,                      1,                0.97861,                0.87572,                0.75183,                0.93333,                0.92194,                0.86037,                0.39943,                0.27293,                0.77441,                0.95708,               0.001406,               0.001406,               0.001406
                     32,                0.33278,                0.26616,                 0.3146,                0.95124,                0.97591,                      1,                  0.995,                0.95134,                0.97591,                      1,                  0.995,                0.92063,                0.43585,                0.71926,                 0.5556,                 1.1766,              0.0013862,              0.0013862,              0.0013862
                     33,                0.31489,                0.24374,                0.31182,                0.94407,                0.96181,                      1,                  0.995,                0.91176,                0.96181,                      1,                  0.995,                 0.9204,                 0.4264,                 1.2077,                0.51852,                 1.0962,              0.0013664,              0.0013664,              0.0013664
                     34,                0.34231,                 0.3167,                0.36662,                0.95022,                 0.9768,                      1,                  0.995,                0.97536,                 0.9768,                      1,                  0.995,                0.97442,                0.30832,                0.25162,                 0.4015,                0.92151,              0.0013466,              0.0013466,              0.0013466
                     35,                0.32295,                0.26847,                0.32251,                0.94451,                0.98982,                      1,                  0.995,                  0.995,                0.98982,                      1,                  0.995,                  0.995,                0.23342,                0.13633,                0.26895,                0.84541,              0.0013268,              0.0013268,              0.0013268
                     36,                0.29612,                0.20068,                 0.2845,                0.91802,                0.99677,                      1,                  0.995,                  0.995,                0.99677,                      1,                  0.995,                0.98512,                 0.2166,                0.23238,                0.24448,                0.81383,               0.001307,               0.001307,               0.001307
                     37,                0.28226,                0.22578,                0.28537,                 0.9316,                0.99674,                      1,                  0.995,                  0.995,                0.99674,                      1,                  0.995,                  0.995,                0.19883,                0.12434,                0.22699,                0.80407,              0.0012872,              0.0012872,              0.0012872
                     38,                0.29031,                0.25462,                0.29942,                0.94256,                0.99482,                      1,                  0.995,                  0.995,                0.99482,                      1,                  0.995,                  0.995,                0.19988,                0.11728,                0.21384,                0.81656,              0.0012674,              0.0012674,              0.0012674
                     39,                0.28962,                0.22415,                0.27064,                0.91063,                0.99043,                      1,                  0.995,                0.97617,                0.99043,                      1,                  0.995,                  0.995,                0.25266,                0.14231,                0.31956,                0.87486,              0.0012476,              0.0012476,              0.0012476
                     40,                0.27321,                0.23129,                0.26999,                0.91471,                0.99644,                      1,                  0.995,                  0.995,                0.99644,                      1,                  0.995,                  0.995,                0.20824,                0.12516,                0.19839,                0.81985,              0.0012278,              0.0012278,              0.0012278
                     41,                0.28444,                0.21745,                0.27044,                0.92243,                0.99663,                      1,                  0.995,                  0.995,                0.99663,                      1,                  0.995,                  0.995,                0.15867,                0.14261,                0.18836,                0.77444,               0.001208,               0.001208,               0.001208
                     42,                0.29498,                0.20633,                0.27777,                0.92368,                0.99651,                      1,                  0.995,                  0.995,                0.99651,                      1,                  0.995,                  0.995,                0.18235,                0.12913,                0.20983,                0.79638,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.2819,                0.21923,                0.26854,                0.92228,                 0.9965,                      1,                  0.995,                  0.995,                 0.9965,                      1,                  0.995,                  0.995,                0.19384,                0.12039,                0.20656,                0.80426,              0.0011684,              0.0011684,              0.0011684
                     44,                0.29155,                0.23509,                 0.2901,                0.91547,                0.99578,                      1,                  0.995,                  0.995,                0.99578,                      1,                  0.995,                  0.995,                0.21046,                0.12689,                0.20519,                0.81537,              0.0011486,              0.0011486,              0.0011486
                     45,                0.27933,                0.21971,                0.26677,                0.92103,                0.99517,                      1,                  0.995,                  0.995,                0.99517,                      1,                  0.995,                  0.995,                0.19089,                0.12577,                0.23297,                0.81529,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.2684,                0.20417,                0.25921,                 0.9106,                0.99645,                      1,                  0.995,                  0.995,                0.99645,                      1,                  0.995,                  0.995,                0.23871,                0.12228,                0.22423,                0.86338,               0.001109,               0.001109,               0.001109
                     47,                0.25056,                0.19941,                0.24824,                0.91806,                0.99667,                      1,                  0.995,                  0.995,                0.99667,                      1,                  0.995,                  0.995,                0.21173,                0.13654,                0.19113,                 0.8137,              0.0010892,              0.0010892,              0.0010892
                     48,                0.28304,                0.20229,                0.27249,                0.93032,                0.99663,                      1,                  0.995,                  0.995,                0.99663,                      1,                  0.995,                  0.995,                0.18572,                0.13236,                0.16816,                0.80304,              0.0010694,              0.0010694,              0.0010694
                     49,                0.24946,                0.19776,                0.23679,                0.90047,                0.99619,                      1,                  0.995,                0.95089,                0.99619,                      1,                  0.995,                  0.995,                0.27535,                0.15732,                0.24799,                0.90735,              0.0010496,              0.0010496,              0.0010496
                     50,                0.25843,                0.19978,                 0.2387,                0.90265,                0.99517,                      1,                  0.995,                0.98932,                0.99517,                      1,                  0.995,                  0.995,                0.19882,                0.13128,                0.22726,                0.81963,              0.0010298,              0.0010298,              0.0010298
                     51,                  0.268,                0.19164,                0.24689,                0.92359,                0.99644,                      1,                  0.995,                  0.995,                0.99644,                      1,                  0.995,                  0.995,                 0.1871,                 0.1273,                0.18667,                0.80409,                0.00101,                0.00101,                0.00101
                     52,                0.26973,                0.17866,                0.23464,                0.92675,                0.99664,                      1,                  0.995,                  0.995,                0.99664,                      1,                  0.995,                  0.995,                0.13968,                0.11947,                0.15365,                0.77577,              0.0009902,              0.0009902,              0.0009902
                     53,                0.25345,                0.18553,                0.23931,                0.92277,                0.99666,                      1,                  0.995,                  0.995,                0.99666,                      1,                  0.995,                  0.995,                0.17099,                0.12284,                0.17965,                0.78844,              0.0009704,              0.0009704,              0.0009704
                     54,                0.28731,                0.20613,                0.23971,                0.92373,                0.99668,                      1,                  0.995,                  0.995,                0.99668,                      1,                  0.995,                  0.995,                0.18213,                0.12311,                0.17538,                0.80351,              0.0009506,              0.0009506,              0.0009506
                     55,                0.26526,                0.17912,                0.27592,                0.90448,                0.99666,                      1,                  0.995,                  0.995,                0.99666,                      1,                  0.995,                  0.995,                0.17481,                0.11783,                0.16784,                0.78843,              0.0009308,              0.0009308,              0.0009308
                     56,                0.25233,                0.17231,                0.23347,                0.92428,                0.99636,                      1,                  0.995,                  0.995,                0.99636,                      1,                  0.995,                  0.995,                0.17912,                0.12213,                0.23811,                0.78954,               0.000911,               0.000911,               0.000911
                     57,                0.24551,                0.17574,                 0.2372,                0.90651,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                 0.1457,                0.12452,                0.16693,                 0.7723,              0.0008912,              0.0008912,              0.0008912
                     58,                0.26522,                0.19369,                0.24633,                0.89693,                0.99667,                      1,                  0.995,                  0.995,                0.99667,                      1,                  0.995,                  0.995,                0.15907,                0.12873,                0.15027,                0.78059,              0.0008714,              0.0008714,              0.0008714
                     59,                0.22746,                0.17568,                0.22169,                0.90781,                0.99659,                      1,                  0.995,                  0.995,                0.99659,                      1,                  0.995,                  0.995,                0.14852,                0.12292,                0.17192,                0.77097,              0.0008516,              0.0008516,              0.0008516
                     60,                0.21932,                0.17445,                0.23445,                0.88992,                0.99491,                      1,                  0.995,                  0.995,                0.99491,                      1,                  0.995,                  0.995,                0.15973,                0.11475,                0.18139,                0.77951,              0.0008318,              0.0008318,              0.0008318
                     61,                0.22405,                0.23311,                0.21196,                0.89626,                0.99393,                      1,                  0.995,                  0.995,                0.99393,                      1,                  0.995,                  0.995,                0.15749,                0.11215,                0.20606,                0.78535,               0.000812,               0.000812,               0.000812
                     62,                0.21809,                0.16758,                0.20867,                0.89446,                0.99476,                      1,                  0.995,                  0.995,                0.99476,                      1,                  0.995,                  0.995,                0.14492,                0.11411,                0.17767,                0.77161,              0.0007922,              0.0007922,              0.0007922
